ensemble,lead_000_cab_gridcells,lead_024_cab_gridcells,lead_048_cab_gridcells,lead_072_cab_gridcells,lead_096_cab_gridcells,lead_120_cab_gridcells,lead_144_cab_gridcells,lead_168_cab_gridcells,lead_192_cab_gridcells,lead_216_cab_gridcells,lead_240_cab_gridcells
gep01,0,8,0,0,9,0,10,0,0,8,0
gep02,0,0,10,0,0,0,0,13,20,8,10
gep03,0,16,16,8,0,0,8,0,0,28,0
gep04,9,0,9,0,0,0,0,0,15,0,0
gep05,0,0,0,0,0,0,0,0,18,0,0
gep06,0,0,8,8,0,16,0,0,8,10,9
gep07,0,0,10,0,0,0,0,0,0,0,0
gep08,8,0,12,0,19,10,0,0,40,0,12
gep09,0,0,12,8,0,8,0,0,8,0,0
gep10,0,11,8,0,8,10,14,8,0,0,0
gep11,0,0,0,0,13,0,0,0,0,0,0
gep12,0,13,11,11,0,12,11,0,0,0,0
gep13,0,9,23,8,0,13,0,0,19,22,8
gep14,0,0,0,9,11,0,0,0,11,0,0
gep15,0,0,8,16,11,8,0,0,12,33,45
gep16,0,0,12,0,0,0,0,0,0,0,0
gep17,0,0,11,0,0,0,0,15,0,10,12
gep18,0,17,13,8,8,0,8,0,8,0,8
gep19,0,0,11,20,0,0,0,8,8,0,8
gep20,8,9,0,0,0,0,0,8,0,0,10
