date,cab_len,cab_lat,kd_len,kd_lat
20250910,63,-5.4365,14,-30.0
20250911,43,-6.7849,45,-28.3111
20250912,34,,18,-22.1111
20250913,0,,33,-27.053
20250914,48,-8.474,26,-26.3558
20250915,56,-10.6741,11,-25.4773
20250916,68,-10.0882,11,-25.0
20250917,67,-9.2015,0,
20250918,106,-8.6108,31,-23.8548
20250919,45,-8.5056,0,
20250920,36,,13,-27.5577
20250921,55,-8.6273,61,-25.6393
20250922,51,-8.9167,0,
20250923,0,,17,-22.4412
20250924,37,,67,-24.1119
20250925,48,-8.7344,19,-24.2632
20250926,48,-10.8125,32,-26.9453
20250927,59,-10.9619,28,-19.0804
20250928,41,-11.2195,56,-21.2054
20250929,54,-13.4861,30,-17.2667
20250930,21,,60,-19.2583
20251001,44,-12.3466,0,
20251002,44,-11.9602,0,
20251003,80,-12.0156,13,-27.7115
20251004,67,-10.5597,28,-26.8929
20251005,54,-8.3889,0,
20251006,115,-7.4783,35,-29.2929
20251007,54,-7.6759,36,-25.3125
20251008,86,-8.7791,32,-25.1172
20251009,56,-9.6429,42,-25.9762
20251010,46,-10.2989,12,-27.2917
20251011,38,,0,
20251012,48,-12.7865,33,-19.7803
20251013,0,,34,-18.6765
20251014,0,,54,-20.625
20251015,37,,42,-21.0
20251016,77,-11.6916,51,-22.3186
20251017,79,-11.4494,22,-24.1818
20251018,77,-11.8247,54,-24.412
20251019,85,-11.7029,71,-24.5739
20251020,51,-9.6176,29,-25.9483
20251021,52,-9.1058,47,-24.7606
20251022,74,-12.7095,16,-23.3906
20251024,0,,12,-30.2708
20251025,34,,45,-25.9222
20251026,22,,80,-22.5875
20251027,0,,80,-20.4
20251028,0,,111,-21.6734
20251029,16,,52,-25.5
20251030,37,,57,-21.2281
20251031,0,,95,-24.9526
20251101,35,,68,-24.7574
20251102,0,,71,-23.5845
20251103,0,,24,-18.3021
20251104,0,,42,-22.1131
20251105,0,,39,-26.2564
20251106,0,,35,-24.5357
20251107,0,,37,-23.3041
20251108,0,,25,-20.59
20251109,0,,40,-20.1562
20251110,0,,47,-19.0053
20251111,0,,50,-18.755
20251112,0,,24,-16.5521
20251113,0,,0,
20251114,0,,0,
20251115,0,,11,-26.9318
