date,northheatlow_lat,northheatlow_temp,southheatlow_lat,southheatlow_temp
20250910,23.7824,301.7463,-7.8607,298.9177
20250911,24.1027,300.8119,-13.6419,298.1237
20250912,21.7104,300.7039,-18.282,297.7358
20250913,21.3146,300.7002,-17.8585,297.7269
20250914,22.3518,300.3756,-17.5211,298.0469
20250915,19.7975,301.3744,-17.6302,298.8438
20250916,18.4786,301.3199,-17.3735,299.4294
20250917,22.063,300.843,-16.6306,299.6513
20250918,21.7123,300.9563,-16.1643,299.8894
20250919,21.6648,300.6935,-17.1359,299.8729
20250920,21.58,300.1671,-20.3048,299.3764
20250921,20.1854,299.9787,-18.4316,298.4671
20250922,21.5888,299.9681,-18.4229,297.838
20250923,21.2672,299.991,-17.419,298.822
20250924,20.9996,300.2773,-14.4766,298.6691
20250925,21.8699,300.3335,-16.3442,299.2856
20250926,22.0861,300.4668,-15.6488,298.1178
20250927,22.1654,300.743,-15.9514,298.0323
20250928,20.9621,300.283,-16.1744,298.4776
20250929,21.2019,300.2173,-14.9518,298.6709
20250930,21.243,300.4134,-17.3504,297.7047
20251001,20.2305,300.7517,-16.4276,297.8651
20251002,19.6853,300.5595,-17.6922,297.2825
20251003,19.4993,300.2195,-18.7765,298.6284
20251004,18.1479,299.9841,-20.2354,299.0171
20251005,18.5166,299.3634,-20.3675,297.859
20251006,21.5204,298.8,-17.4084,298.5734
20251007,21.6023,298.8906,-17.0152,299.5078
20251008,19.6613,298.9916,-15.9431,299.0816
20251009,17.526,299.0877,-18.0284,299.3956
20251010,19.3871,298.7855,-17.5211,299.1387
20251011,17.6102,298.4352,-16.9013,298.1706
20251012,18.6643,298.408,-17.6015,298.3489
20251013,20.0974,298.5309,-17.9573,298.4986
20251014,20.2678,298.4303,-19.638,298.3661
20251015,19.9901,298.2962,-18.4707,299.3395
20251016,19.3545,298.4025,-18.468,299.4828
20251017,19.4558,298.3616,-18.4312,300.2459
20251018,20.283,297.9487,-17.1339,298.6086
20251019,20.1822,297.8692,-17.2892,298.3512
20251020,18.6751,297.6335,-16.7782,300.0797
20251021,18.4386,298.0326,-16.2426,299.3573
20251022,18.197,298.1077,-16.0234,298.491
20251024,18.164,298.1993,-20.8172,295.9021
20251025,18.6365,298.0266,-20.8897,297.3407
20251026,18.1905,297.9532,-19.4677,299.199
20251027,17.7093,297.9048,-18.9598,298.4594
20251028,17.0359,297.7107,-16.6512,298.1578
20251029,16.5642,297.7499,-17.5087,297.8992
20251030,17.706,297.6975,-15.4384,297.4857
20251031,18.3321,297.4223,-18.9316,297.1787
20251101,18.3458,297.4402,-19.0592,298.2921
20251102,17.8586,297.4066,-17.7158,297.7534
20251103,15.1236,297.1548,-14.8822,296.2825
20251104,13.8184,296.9544,-9.7439,295.3757
20251105,12.3542,296.9379,-9.3664,295.9386
20251106,11.2896,296.8859,-25.7547,296.5916
20251107,10.9584,296.9389,-21.3844,295.716
20251108,10.7635,296.7933,-21.3419,293.8506
20251109,10.6882,296.9585,-20.4314,293.5893
20251110,11.2739,296.6324,-20.0986,294.5181
20251111,10.5457,296.674,-21.1215,295.8271
20251112,9.7014,296.8407,-23.2882,296.9221
20251114,9.972,296.7852,-26.301,297.9684
20251115,15.2312,296.0188,-2.7607,292.1013
20251116,15.1418,295.7491,-18.9268,293.8169
20251117,14.5477,295.3222,-17.6258,295.8013
20251118,8.2561,295.4418,-19.6902,296.4356
20251119,7.9579,296.4731,-21.8498,296.7388
20251120,9.0028,296.8716,-22.7057,297.6863
20251121,8.6446,296.8658,-21.9067,298.4155
20251122,9.1282,297.0436,-22.3611,298.957
20251123,9.8941,296.8843,-18.9588,298.3953
20251124,9.8227,296.8885,-18.8374,298.2637
20251125,8.6564,297.1165,-21.9509,296.1981
20251127,6.8385,297.4814,-27.5649,297.2223
20251128,7.7468,297.4424,-20.0544,296.6785
20251129,8.4075,297.0842,-10.0672,296.5982
20251130,8.2193,297.5211,-18.7844,297.5858
20251201,7.6277,297.9705,-20.9206,298.8594
20251202,7.35,297.5133,-20.9217,298.3432
20251203,7.9335,297.4397,-20.4286,298.5676
20251204,8.2588,297.5143,-23.4554,298.7321
20251205,9.2012,297.5147,-24.0159,298.0526
20251207,10.2528,298.0659,-24.7969,296.5512
20251208,10.1588,297.6658,-27.1011,296.3693
20251209,9.664,296.8108,-26.1028,295.9
20251210,8.0664,296.2313,-24.2087,296.7029
20251211,8.1553,295.7036,-26.117,297.5934
20251212,7.6789,295.7057,-30.1297,293.9326
20251213,7.4432,296.0951,-19.3629,293.7589
20251214,5.9352,296.4414,-1.3047,294.8994
20251215,5.8108,296.4467,-24.0446,296.4185
20251216,5.5513,296.0263,-27.4597,296.2096
20251217,4.8275,294.948,-24.3374,294.3642
20251218,5.0722,295.0552,-24.2494,294.0367
20251221,5.4111,296.8459,-25.4741,296.315
20251222,5.6707,296.7597,-27.1319,296.3778
