ensemble,lead_000_kd_gridcells,lead_024_kd_gridcells,lead_048_kd_gridcells,lead_072_kd_gridcells,lead_096_kd_gridcells,lead_120_kd_gridcells,lead_144_kd_gridcells,lead_168_kd_gridcells,lead_192_kd_gridcells,lead_216_kd_gridcells,lead_240_kd_gridcells
gep01,19,18,47,6,31,20,8,6,19,8,0
gep02,18,21,27,10,20,32,0,10,11,0,25
gep03,14,8,11,21,12,6,0,6,0,7,36
gep04,21,6,13,0,0,9,0,6,6,0,6
gep05,18,27,21,10,11,18,7,6,0,6,0
gep06,9,31,16,21,31,23,0,0,17,6,0
gep07,10,29,17,0,36,12,9,18,7,7,0
gep08,7,6,0,6,14,0,0,0,0,0,0
gep09,20,13,14,7,22,15,0,0,9,6,0
gep10,11,16,37,22,26,27,0,0,0,0,14
gep11,20,8,26,7,14,47,33,0,0,15,22
gep12,34,25,28,0,34,0,8,0,0,8,6
gep13,14,0,8,13,12,7,11,0,0,13,0
gep14,13,7,19,6,11,14,0,0,8,0,22
gep15,14,6,21,0,0,0,0,8,7,10,9
gep16,22,8,27,12,13,0,0,0,14,0,18
gep17,29,0,10,0,28,28,23,8,0,0,6
gep18,24,19,12,23,19,6,12,7,15,6,12
gep19,20,14,19,0,9,0,6,0,0,15,18
gep20,14,27,26,7,6,7,6,0,8,0,13
