date,mean_latitude,north_lim,south_lim
20250910,7.7146,18.45,-4.75
20250911,7.7013,18.45,-4.75
20250912,7.2116,17.25,-6.0
20250913,7.5162,16.75,-4.25
20250914,6.9341,17.5,-7.5
20250915,6.1888,16.5,-8.0
20250916,5.6294,15.75,-8.0
20250917,6.3115,16.65,-7.0
20250918,5.1451,15.75,-9.5
20250919,5.105,16.25,-9.75
20250920,6.4697,16.25,-6.0
20250921,6.0117,15.0,-4.5
20250922,5.6408,15.5,-8.75
20250923,5.7136,16.5,-9.55
20250924,6.6203,16.5,-7.75
20250925,6.2648,16.0,-8.75
20250926,5.4201,15.5,-9.5
20250927,5.3463,15.5,-9.0
20250928,5.1628,14.75,-8.0
20250929,5.4159,15.0,-7.25
20250930,4.8843,15.75,-8.05
20251001,5.4841,17.0,-7.85
20251002,4.5238,17.75,-11.5
20251003,3.7032,17.25,-9.75
20251004,3.6986,14.0,-10.0
20251005,4.5359,14.0,-7.5
20251006,4.9031,13.0,-5.5
20251007,4.0421,13.25,-8.25
20251008,4.3492,14.25,-8.75
20251009,4.0484,13.75,-8.75
20251010,3.9664,13.25,-8.25
20251011,4.3921,13.0,-8.25
20251012,3.4752,12.75,-9.95
20251013,3.4753,13.25,-9.25
20251014,3.456,13.0,-9.0
20251015,2.969,12.5,-9.25
20251016,2.4019,12.0,-10.25
