ensemble,lead_000,lead_024,lead_048,lead_072,lead_096,lead_120,lead_144,lead_168,lead_192,lead_216,lead_240
gep01,-4.580610921099186,-4.510424184107128,-5.557403743095061,-5.865591397849462,-6.115447064467324,-7.325862068965518,-6.812480596088172,-5.738394433482189,-5.946062118691071,-6.140562248995984,-5.673530696963076
gep02,-4.947375751064422,-4.59775947150589,-5.266437998956954,-5.665412797304181,-6.632642619595805,-7.513904696866227,-7.068908723833811,-5.562005633368059,-4.2945973496432215,-4.466731344490258,-4.677074993327995
gep03,-4.821750631237225,-5.881172437733229,-6.7421196677991695,-5.63686426951733,-5.5831832507879335,-5.672529586872867,-6.533045659069115,-6.020062753783684,-5.532131632464411,-4.944870157513836,-5.013825891207203
gep04,-5.198664067892963,-5.337030967687718,-5.465851814516129,-5.792358669737745,-6.39391879131256,-7.464561040156484,-7.111085801063022,-6.319258089976322,-6.265580761925241,-5.897961361938307,-5.344027805627967
gep05,-4.984883626302083,-4.684009335264768,-5.374146631047789,-5.48452680820439,-5.882059364328868,-7.241287878787879,-7.321380074328187,-5.935628019323671,-5.653608441680799,-5.200351158441162,-4.679232956728922
gep06,-5.2185145317545745,-7.041648776298841,-6.374641273154188,-7.286180773249739,-6.343748798954611,-7.228472144795035,-6.170326826382727,-4.991384729155112,-5.461667991069739,-9.577219457376787,-9.286557930258718
gep07,-5.046343434343434,-4.815172220890274,-5.573199721300053,-5.862059775366458,-6.7849264020868265,-8.101240542305181,-6.763275193798449,-5.7677250362819015,-3.9178859202714165,-2.505392670157068,-3.750385410791502
gep08,-5.016022924486419,-6.106344950848973,-5.998993743710899,-6.2029908972691805,-6.578467860742808,-7.690362116991643,-7.006829698171403,-7.304263997033741,-7.337104478684051,-8.12010659460271,-8.507447384710616
gep09,-4.897386096949098,-4.8807354510383325,-5.22874417432926,-5.369202516313054,-5.69307599345987,-6.935328784119107,-6.781711812248486,-5.004882119017186,-3.9299860376249267,-3.3571143085531574,-3.424605781865966
gep10,-5.0861708122031715,-5.457494407158836,-5.728585259081534,-4.995968355393275,-5.7664089058239005,-6.421045152580908,-6.418001281229981,-6.426049755536382,-6.000736826971462,-5.923658770570438,-2.2399164054336467
gep11,-4.818369945877109,-5.980197800248359,-6.147402370990237,-5.7746346063177745,-6.06668165130741,-6.658701712465153,-6.408872393071756,-6.285927880386983,-3.6463209505404053,-3.4312050679763684,-2.9984930348807293
gep12,-4.6922465840483,-4.64216688720478,-5.249331550802139,-5.6250652846410345,-6.644227811105983,-7.457888493475682,-6.396271707737894,-5.437954714179659,-6.699279899812148,-5.913485583995293,-4.1501466813348005
gep13,-4.767104216388226,-5.817218095881161,-4.7078562728380025,-5.40156678417548,-5.488097802671263,-5.783445381140398,-7.09340901576105,-6.386458113154371,-5.194631111111111,-6.410626319493314,-6.909525391201654
gep14,-5.0714571577220156,-4.884512491254064,-5.7807674108487115,-6.175927064126204,-6.288700315920946,-7.46414452009664,-7.484535709111981,-6.68002579694122,-6.069843008397225,-5.63467844101647,-6.269276462021921
gep15,-4.814698669239737,-4.81063321385902,-5.168218305196954,-4.93907949456174,-5.433254963427378,-6.300662467419635,-6.65397936104043,-6.139401700281009,-5.6112179487179485,-5.698498833553098,-5.191111581771329
gep16,-5.082886940995049,-4.630133686619295,-4.905697206294986,-5.277314009661836,-5.6670182841068915,-7.172077355394981,-6.595464021278126,-6.314277207086497,-5.696050207277752,-6.142090426108641,-6.54092332594391
gep17,-4.437570325534474,-4.907223618090452,-5.631302876480541,-5.461327028793296,-6.289825668770664,-6.904899032992037,-7.036177308153477,-5.729030952118067,-5.237161675414223,-4.970327609068271,-4.203419698990284
gep18,-4.5353956327776475,-4.444159713945173,-5.191900497512438,-5.399161568094267,-5.961139896373057,-6.647357301191466,-6.520574641280353,-5.392351476342939,-4.916993880222152,-5.174770928779675,-5.272671374863849
gep19,-4.608716475095785,-5.693231965744745,-5.178809218950064,-5.770238246371291,-6.058641975308642,-7.207330848300011,-7.337601692751086,-6.417726577703642,-5.980583013919709,-5.983326541700625,-5.510835323848098
gep20,-5.074738506446121,-5.974064794056882,-5.860134425540853,-5.985439654191787,-6.983652533303812,-8.607856266041736,-7.8554177897574125,-5.604247250663633,-3.8078240897624154,-3.845378787878788,-3.212532831549649
