ensemble,lead_000,lead_024,lead_048,lead_072,lead_096,lead_120,lead_144,lead_168,lead_192,lead_216,lead_240
gep01,7.0,4.5,5.599999999999994,6.5,5.5,5.5,7.5,7.5,8.0,7.400000000000006,6.5
gep02,7.0,4.5,5.5,4.0,4.0,2.4000000000000057,4.400000000000006,6.0,7.5,4.0,4.0
gep03,7.0,5.0,5.0,7.0,4.5,5.0,4.5,5.5,6.099999999999994,-3.5,3.5
gep04,7.0,4.5,6.0,6.5,4.5,4.400000000000006,4.5,4.5,5.5,3.5,4.0
gep05,7.0,7.0,7.0,7.0,5.5,4.5,4.5,5.5,5.0,5.0,5.5
gep06,7.0,4.5,4.5,6.5,4.5,6.5,6.5,6.0,7.0,1.0,3.5
gep07,7.0,4.5,4.5,4.0,3.5,3.5999999999999943,4.5,5.0,7.0,8.0,8.800000000000011
gep08,7.5,7.5,7.5,7.0,2.5,2.0,2.5,4.5,5.0,4.0,4.5
gep09,7.5,7.0,5.0,5.5,2.5,4.5,5.5,7.0,6.5,6.5,7.0
gep10,7.0,6.5,6.5,5.0,4.0,4.5,4.5,4.5,4.5,5.5,6.0
gep11,7.0,4.5,5.0,5.0,4.5,2.0,5.5,5.5,6.0,4.5,4.0
gep12,7.0,4.5,5.200000000000017,6.5,4.5,3.0,3.5,4.0,4.5,1.0,4.0
gep13,7.0,4.5,6.5,7.0,5.5,6.0,4.5,5.0,6.0,7.099999999999994,8.0
gep14,7.0,5.0,5.0,6.0,5.0,4.5,5.0,4.5,5.099999999999994,6.0,6.5
gep15,7.5,5.0,5.200000000000017,5.400000000000006,5.200000000000017,4.0,4.5,4.5,6.0,4.0,4.5
gep16,7.0,4.5,4.5,5.700000000000017,5.5,6.0,4.5,5.0,5.5,6.0,6.5
gep17,7.0,7.0,5.5,6.5,5.5,1.5,4.5,5.5,5.300000000000011,5.5,7.0
gep18,7.0,4.5,5.0,5.5,4.5,4.5,4.099999999999994,4.5,6.0,6.0,6.0
gep19,7.0,4.5,4.5,5.5,4.5,4.5,4.799999999999997,5.0,4.5,6.5,6.0
gep20,7.0,7.5,4.900000000000006,5.5,-13.5,5.0,4.5,5.0,5.5,3.0,4.5
