ensemble,lead_000,lead_024,lead_048,lead_072,lead_096,lead_120,lead_144,lead_168,lead_192,lead_216,lead_240
gep01,-25.5,-27.0,-25.4,-25.0,-24.0,-20.5,-19.0,-19.5,-18.0,-19.4,-15.5
gep02,-25.5,-27.0,-26.5,-25.5,-27.5,-20.5,-20.0,-19.5,-16.5,-14.5,-14.5
gep03,-25.5,-24.5,-27.099999999999998,-26.0,-26.0,-28.0,-28.0,-21.0,-19.7,-19.0,-17.0
gep04,-25.5,-25.5,-26.5,-26.5,-22.0,-21.5,-21.299999999999997,-28.7,-28.7,-18.5,-23.599999999999998
gep05,-25.5,-25.5,-27.0,-21.0,-19.5,-21.5,-19.0,-17.5,-17.5,-17.5,-17.0
gep06,-25.5,-26.5,-27.0,-26.5,-24.0,-21.5,-20.0,-17.0,-16.5,-22.0,-17.299999999999997
gep07,-25.5,-26.0,-25.5,-25.0,-25.799999999999997,-19.5,-20.2,-20.0,-29.5,-23.0,-21.599999999999998
gep08,-25.5,-26.099999999999998,-28.0,-27.0,-26.0,-22.5,-18.5,-17.5,-16.5,-15.5,-18.0
gep09,-25.7,-26.0,-28.0,-25.5,-21.0,-19.0,-19.5,-19.0,-18.0,-18.599999999999998,-20.099999999999998
gep10,-25.7,-26.0,-27.9,-23.5,-21.5,-20.0,-19.0,-19.0,-17.5,-17.0,-20.2
gep11,-26.0,-21.0,-26.0,-25.799999999999997,-24.5,-19.5,-20.5,-22.0,-20.5,-22.4,-22.5
gep12,-26.0,-25.799999999999997,-25.7,-26.0,-20.5,-22.5,-18.0,-18.0,-23.0,-20.0,-17.5
gep13,-26.0,-23.0,-28.0,-21.5,-21.0,-19.5,-17.599999999999998,-17.5,-15.0,-14.2,-16.0
gep14,-25.7,-25.5,-26.5,-25.599999999999998,-26.0,-29.0,-28.5,-27.5,-22.5,-23.5,-21.0
gep15,-25.5,-25.5,-26.5,-25.5,-28.5,-23.5,-20.5,-21.9,-19.0,-18.5,-17.5
gep16,-25.599999999999998,-26.5,-25.5,-25.0,-22.0,-18.2,-17.5,-17.5,-16.0,-15.5,-15.0
gep17,-25.9,-26.0,-26.5,-25.0,-22.5,-22.0,-18.5,-18.0,-16.5,-17.5,-17.5
gep18,-25.7,-25.2,-23.0,-23.5,-25.5,-19.5,-19.0,-19.0,-19.5,-20.0,-21.0
gep19,-25.599999999999998,-26.0,-26.5,-22.0,-19.9,-20.0,-19.5,-17.5,-17.5,-19.0,-18.0
gep20,-25.599999999999998,-26.0,-26.599999999999998,-26.0,-22.5,-22.0,-18.5,-17.5,-17.0,-16.0,-20.0
